"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor","X"
"25723",41300,"Loyola",NA,NA,5357,2018-05-01,5,"May",2018,1,"Tuesday","(42.001073, -87.661061)","100000000",NA
"26128",41300,"Loyola",NA,NA,2319,2018-05-20,5,"May",2018,20,"Sunday","(42.001073, -87.661061)","100000000",NA
"26291",41300,"Loyola",NA,NA,4663,2018-06-27,6,"Jun",2018,27,"Wednesday","(42.001073, -87.661061)","100000000",NA
"26528",41300,"Loyola",NA,NA,4660,2018-06-14,6,"Jun",2018,14,"Thursday","(42.001073, -87.661061)","100000000",NA
"26604",41300,"Loyola",NA,NA,2540,2018-06-10,6,"Jun",2018,10,"Sunday","(42.001073, -87.661061)","100000000",NA
"26674",41300,"Loyola",NA,NA,3703,2018-06-30,6,"Jun",2018,30,"Saturday","(42.001073, -87.661061)","100000000",NA
"26783",41300,"Loyola",NA,NA,5040,2018-04-09,4,"Apr",2018,9,"Monday","(42.001073, -87.661061)","100000000",NA
"27065",41300,"Loyola",NA,NA,2629,2018-06-17,6,"Jun",2018,17,"Sunday","(42.001073, -87.661061)","100000000",NA
"27194",41300,"Loyola",NA,NA,5252,2018-04-25,4,"Apr",2018,25,"Wednesday","(42.001073, -87.661061)","100000000",NA
"27655",41300,"Loyola",NA,NA,4637,2018-06-12,6,"Jun",2018,12,"Tuesday","(42.001073, -87.661061)","100000000",NA
"27929",41300,"Loyola",NA,NA,4424,2018-05-05,5,"May",2018,5,"Saturday","(42.001073, -87.661061)","100000000",NA
"27974",41300,"Loyola",NA,NA,4529,2018-05-22,5,"May",2018,22,"Tuesday","(42.001073, -87.661061)","100000000",NA
"27976",41300,"Loyola",NA,NA,4787,2018-06-13,6,"Jun",2018,13,"Wednesday","(42.001073, -87.661061)","100000000",NA
"28115",41300,"Loyola",NA,NA,4442,2018-05-31,5,"May",2018,31,"Thursday","(42.001073, -87.661061)","100000000",NA
"28124",41300,"Loyola",NA,NA,3659,2018-06-16,6,"Jun",2018,16,"Saturday","(42.001073, -87.661061)","100000000",NA
"28146",41300,"Loyola",NA,NA,3883,2018-06-24,6,"Jun",2018,24,"Sunday","(42.001073, -87.661061)","100000000",NA
"28284",41300,"Loyola",NA,NA,4659,2018-06-05,6,"Jun",2018,5,"Tuesday","(42.001073, -87.661061)","100000000",NA
