"","station_id","stationname","date","daytype","rides","date_ymd","month","month_char","year","day","day_of_week","loc","lineColor"
"20282",41210,"Wellington","06/17/2018","U",730,2018-06-17,6,"Jun",2018,17,"Sunday","(41.936033, -87.653266)","purple_exp"
"20770",41210,"Wellington","05/31/2018","W",3214,2018-05-31,5,"May",2018,31,"Thursday","(41.936033, -87.653266)","purple_exp"
"20963",41210,"Wellington","06/27/2018","W",3096,2018-06-27,6,"Jun",2018,27,"Wednesday","(41.936033, -87.653266)","purple_exp"
"21028",41210,"Wellington","05/13/2018","U",775,2018-05-13,5,"May",2018,13,"Sunday","(41.936033, -87.653266)","purple_exp"
"21322",41210,"Wellington","06/09/2018","A",1521,2018-06-09,6,"Jun",2018,9,"Saturday","(41.936033, -87.653266)","purple_exp"
"21373",41210,"Wellington","06/23/2018","A",1371,2018-06-23,6,"Jun",2018,23,"Saturday","(41.936033, -87.653266)","purple_exp"
"21565",41210,"Wellington","05/17/2018","W",3260,2018-05-17,5,"May",2018,17,"Thursday","(41.936033, -87.653266)","purple_exp"
"21721",41210,"Wellington","05/26/2018","A",1342,2018-05-26,5,"May",2018,26,"Saturday","(41.936033, -87.653266)","purple_exp"
"21750",41210,"Wellington","06/05/2018","W",3256,2018-06-05,6,"Jun",2018,5,"Tuesday","(41.936033, -87.653266)","purple_exp"
"21894",41210,"Wellington","06/15/2018","W",3085,2018-06-15,6,"Jun",2018,15,"Friday","(41.936033, -87.653266)","purple_exp"
"21948",41210,"Wellington","06/30/2018","A",1332,2018-06-30,6,"Jun",2018,30,"Saturday","(41.936033, -87.653266)","purple_exp"
"21989",41210,"Wellington","06/19/2018","W",3148,2018-06-19,6,"Jun",2018,19,"Tuesday","(41.936033, -87.653266)","purple_exp"
"22152",41210,"Wellington","04/27/2018","W",2949,2018-04-27,4,"Apr",2018,27,"Friday","(41.936033, -87.653266)","purple_exp"
"22272",41210,"Wellington","05/20/2018","U",770,2018-05-20,5,"May",2018,20,"Sunday","(41.936033, -87.653266)","purple_exp"
"22446",41210,"Wellington","05/24/2018","W",3242,2018-05-24,5,"May",2018,24,"Thursday","(41.936033, -87.653266)","purple_exp"
"22463",41210,"Wellington","04/16/2018","W",2985,2018-04-16,4,"Apr",2018,16,"Monday","(41.936033, -87.653266)","purple_exp"
"22680",41210,"Wellington","05/08/2018","W",3210,2018-05-08,5,"May",2018,8,"Tuesday","(41.936033, -87.653266)","purple_exp"
"22745",41210,"Wellington","04/08/2018","U",814,2018-04-08,4,"Apr",2018,8,"Sunday","(41.936033, -87.653266)","purple_exp"
"23172",41210,"Wellington","06/12/2018","W",3095,2018-06-12,6,"Jun",2018,12,"Tuesday","(41.936033, -87.653266)","purple_exp"
"23188",41210,"Wellington","05/07/2018","W",3093,2018-05-07,5,"May",2018,7,"Monday","(41.936033, -87.653266)","purple_exp"
"23337",41210,"Wellington","06/04/2018","W",3037,2018-06-04,6,"Jun",2018,4,"Monday","(41.936033, -87.653266)","purple_exp"
"23459",41210,"Wellington","06/21/2018","W",3037,2018-06-21,6,"Jun",2018,21,"Thursday","(41.936033, -87.653266)","purple_exp"
"24177",41210,"Wellington","04/11/2018","W",3255,2018-04-11,4,"Apr",2018,11,"Wednesday","(41.936033, -87.653266)","purple_exp"
"24275",41210,"Wellington","05/23/2018","W",3237,2018-05-23,5,"May",2018,23,"Wednesday","(41.936033, -87.653266)","purple_exp"
"24295",41210,"Wellington","05/18/2018","W",2932,2018-05-18,5,"May",2018,18,"Friday","(41.936033, -87.653266)","purple_exp"
"24333",41210,"Wellington","04/06/2018","W",2987,2018-04-06,4,"Apr",2018,6,"Friday","(41.936033, -87.653266)","purple_exp"
"24360",41210,"Wellington","05/19/2018","A",1231,2018-05-19,5,"May",2018,19,"Saturday","(41.936033, -87.653266)","purple_exp"
"24435",41210,"Wellington","04/24/2018","W",3104,2018-04-24,4,"Apr",2018,24,"Tuesday","(41.936033, -87.653266)","purple_exp"
"24683",41210,"Wellington","05/29/2018","W",3044,2018-05-29,5,"May",2018,29,"Tuesday","(41.936033, -87.653266)","purple_exp"
"25011",41210,"Wellington","05/04/2018","W",2974,2018-05-04,5,"May",2018,4,"Friday","(41.936033, -87.653266)","purple_exp"
"25016",41210,"Wellington","04/07/2018","A",1286,2018-04-07,4,"Apr",2018,7,"Saturday","(41.936033, -87.653266)","purple_exp"
"25025",41210,"Wellington","05/27/2018","U",1023,2018-05-27,5,"May",2018,27,"Sunday","(41.936033, -87.653266)","purple_exp"
"25159",41210,"Wellington","04/29/2018","U",869,2018-04-29,4,"Apr",2018,29,"Sunday","(41.936033, -87.653266)","purple_exp"
"25192",41210,"Wellington","06/02/2018","A",1363,2018-06-02,6,"Jun",2018,2,"Saturday","(41.936033, -87.653266)","purple_exp"
