"station_id"	"stationname"	"date"	"daytype"	"rides"	"loc"
"25394"	40960	"Pulaski-Orange"	"06/24/2018"	"U"	2968	"(41.799756, -87.724493)"
"25926"	40960	"Pulaski-Orange"	"05/18/2018"	"W"	5214	"(41.799756, -87.724493)"
"26173"	40960	"Pulaski-Orange"	"06/13/2018"	"W"	5481	"(41.799756, -87.724493)"
"26271"	40960	"Pulaski-Orange"	"06/12/2018"	"W"	5445	"(41.799756, -87.724493)"
"26332"	40960	"Pulaski-Orange"	"06/25/2018"	"W"	4628	"(41.799756, -87.724493)"
"26517"	40960	"Pulaski-Orange"	"04/04/2018"	"W"	5263	"(41.799756, -87.724493)"
"26678"	40960	"Pulaski-Orange"	"04/01/2018"	"U"	1129	"(41.799756, -87.724493)"
"26902"	40960	"Pulaski-Orange"	"04/22/2018"	"U"	1365	"(41.799756, -87.724493)"
"27396"	40960	"Pulaski-Orange"	"05/15/2018"	"W"	5245	"(41.799756, -87.724493)"
"27536"	40960	"Pulaski-Orange"	"04/21/2018"	"A"	2013	"(41.799756, -87.724493)"
"27636"	40960	"Pulaski-Orange"	"05/01/2018"	"W"	5761	"(41.799756, -87.724493)"
"27668"	40960	"Pulaski-Orange"	"04/16/2018"	"W"	4934	"(41.799756, -87.724493)"
"27748"	40960	"Pulaski-Orange"	"05/11/2018"	"W"	5155	"(41.799756, -87.724493)"
"28235"	40960	"Pulaski-Orange"	"05/28/2018"	"U"	2129	"(41.799756, -87.724493)"
"28299"	40960	"Pulaski-Orange"	"05/08/2018"	"W"	5538	"(41.799756, -87.724493)"
"28314"	40960	"Pulaski-Orange"	"04/07/2018"	"A"	2072	"(41.799756, -87.724493)"
"28432"	40960	"Pulaski-Orange"	"05/23/2018"	"W"	5466	"(41.799756, -87.724493)"
"28705"	40960	"Pulaski-Orange"	"04/08/2018"	"U"	1334	"(41.799756, -87.724493)"
"28754"	40960	"Pulaski-Orange"	"05/31/2018"	"W"	5414	"(41.799756, -87.724493)"
"28757"	40960	"Pulaski-Orange"	"05/30/2018"	"W"	5231	"(41.799756, -87.724493)"
"29112"	40960	"Pulaski-Orange"	"06/23/2018"	"A"	2414	"(41.799756, -87.724493)"
"29329"	40960	"Pulaski-Orange"	"05/24/2018"	"W"	5518	"(41.799756, -87.724493)"
"29469"	40960	"Pulaski-Orange"	"06/10/2018"	"U"	1569	"(41.799756, -87.724493)"
"29670"	40960	"Pulaski-Orange"	"04/11/2018"	"W"	5512	"(41.799756, -87.724493)"
"29777"	40960	"Pulaski-Orange"	"04/19/2018"	"W"	4871	"(41.799756, -87.724493)"
"29868"	40960	"Pulaski-Orange"	"04/06/2018"	"W"	4907	"(41.799756, -87.724493)"
"29923"	40960	"Pulaski-Orange"	"04/26/2018"	"W"	5460	"(41.799756, -87.724493)"
"29949"	40960	"Pulaski-Orange"	"06/18/2018"	"W"	5060	"(41.799756, -87.724493)"
"30061"	40960	"Pulaski-Orange"	"05/09/2018"	"W"	5334	"(41.799756, -87.724493)"
"30129"	40960	"Pulaski-Orange"	"06/06/2018"	"W"	5500	"(41.799756, -87.724493)"
"30202"	40960	"Pulaski-Orange"	"05/20/2018"	"U"	1519	"(41.799756, -87.724493)"
"30245"	40960	"Pulaski-Orange"	"04/15/2018"	"U"	1235	"(41.799756, -87.724493)"
"30387"	40960	"Pulaski-Orange"	"06/03/2018"	"U"	1767	"(41.799756, -87.724493)"
"30534"	40960	"Pulaski-Orange"	"06/07/2018"	"W"	5513	"(41.799756, -87.724493)"
"33358"	40960	"Pulaski-Orange"	"07/01/2018"	"U"	1620	"(41.799756, -87.724493)"
"33359"	40960	"Pulaski-Orange"	"07/02/2018"	"W"	4533	"(41.799756, -87.724493)"
"33360"	40960	"Pulaski-Orange"	"07/03/2018"	"W"	4580	"(41.799756, -87.724493)"
"33361"	40960	"Pulaski-Orange"	"07/04/2018"	"U"	2039	"(41.799756, -87.724493)"
"33362"	40960	"Pulaski-Orange"	"07/05/2018"	"W"	3858	"(41.799756, -87.724493)"
"33363"	40960	"Pulaski-Orange"	"07/06/2018"	"W"	4498	"(41.799756, -87.724493)"
"33364"	40960	"Pulaski-Orange"	"07/07/2018"	"A"	2441	"(41.799756, -87.724493)"
"33365"	40960	"Pulaski-Orange"	"07/08/2018"	"U"	1809	"(41.799756, -87.724493)"
"33366"	40960	"Pulaski-Orange"	"07/09/2018"	"W"	4675	"(41.799756, -87.724493)"
"33367"	40960	"Pulaski-Orange"	"07/10/2018"	"W"	4838	"(41.799756, -87.724493)"
"33368"	40960	"Pulaski-Orange"	"07/11/2018"	"W"	5089	"(41.799756, -87.724493)"
"33369"	40960	"Pulaski-Orange"	"07/12/2018"	"W"	5165	"(41.799756, -87.724493)"
"33370"	40960	"Pulaski-Orange"	"07/13/2018"	"W"	5068	"(41.799756, -87.724493)"
"33371"	40960	"Pulaski-Orange"	"07/14/2018"	"A"	2435	"(41.799756, -87.724493)"
"33372"	40960	"Pulaski-Orange"	"07/15/2018"	"U"	2113	"(41.799756, -87.724493)"
"33373"	40960	"Pulaski-Orange"	"07/16/2018"	"W"	4618	"(41.799756, -87.724493)"
"33374"	40960	"Pulaski-Orange"	"07/17/2018"	"W"	4890	"(41.799756, -87.724493)"
"33375"	40960	"Pulaski-Orange"	"07/18/2018"	"W"	4910	"(41.799756, -87.724493)"
"33376"	40960	"Pulaski-Orange"	"07/19/2018"	"W"	4999	"(41.799756, -87.724493)"
"33377"	40960	"Pulaski-Orange"	"07/20/2018"	"W"	4518	"(41.799756, -87.724493)"
"33378"	40960	"Pulaski-Orange"	"07/21/2018"	"A"	2268	"(41.799756, -87.724493)"
"33379"	40960	"Pulaski-Orange"	"07/22/2018"	"U"	1638	"(41.799756, -87.724493)"
"33380"	40960	"Pulaski-Orange"	"07/23/2018"	"W"	4838	"(41.799756, -87.724493)"
"33381"	40960	"Pulaski-Orange"	"07/24/2018"	"W"	5042	"(41.799756, -87.724493)"
"33382"	40960	"Pulaski-Orange"	"07/25/2018"	"W"	5171	"(41.799756, -87.724493)"
"33383"	40960	"Pulaski-Orange"	"07/26/2018"	"W"	5087	"(41.799756, -87.724493)"
"33384"	40960	"Pulaski-Orange"	"07/27/2018"	"W"	4832	"(41.799756, -87.724493)"
"33385"	40960	"Pulaski-Orange"	"07/28/2018"	"A"	2389	"(41.799756, -87.724493)"
"33386"	40960	"Pulaski-Orange"	"07/29/2018"	"U"	1849	"(41.799756, -87.724493)"
"33387"	40960	"Pulaski-Orange"	"07/30/2018"	"W"	4658	"(41.799756, -87.724493)"
"33388"	40960	"Pulaski-Orange"	"07/31/2018"	"W"	4777	"(41.799756, -87.724493)"
"37832"	40960	"Pulaski-Orange"	"08/01/2018"	"W"	5045	"(41.799756, -87.724493)"
"37833"	40960	"Pulaski-Orange"	"08/02/2018"	"W"	5471	"(41.799756, -87.724493)"
"37834"	40960	"Pulaski-Orange"	"08/03/2018"	"W"	5246	"(41.799756, -87.724493)"
"37835"	40960	"Pulaski-Orange"	"08/04/2018"	"A"	2723	"(41.799756, -87.724493)"
"37836"	40960	"Pulaski-Orange"	"08/05/2018"	"U"	2249	"(41.799756, -87.724493)"
"37837"	40960	"Pulaski-Orange"	"08/06/2018"	"W"	4322	"(41.799756, -87.724493)"
"37838"	40960	"Pulaski-Orange"	"08/07/2018"	"W"	4633	"(41.799756, -87.724493)"
"37839"	40960	"Pulaski-Orange"	"08/08/2018"	"W"	4858	"(41.799756, -87.724493)"
"37840"	40960	"Pulaski-Orange"	"08/09/2018"	"W"	4845	"(41.799756, -87.724493)"
"37841"	40960	"Pulaski-Orange"	"08/10/2018"	"W"	4845	"(41.799756, -87.724493)"
"37842"	40960	"Pulaski-Orange"	"08/11/2018"	"A"	2521	"(41.799756, -87.724493)"
"37843"	40960	"Pulaski-Orange"	"08/12/2018"	"U"	1822	"(41.799756, -87.724493)"
"37844"	40960	"Pulaski-Orange"	"08/13/2018"	"W"	4406	"(41.799756, -87.724493)"
"37845"	40960	"Pulaski-Orange"	"08/14/2018"	"W"	4858	"(41.799756, -87.724493)"
"37846"	40960	"Pulaski-Orange"	"08/15/2018"	"W"	4693	"(41.799756, -87.724493)"
"37847"	40960	"Pulaski-Orange"	"08/16/2018"	"W"	4719	"(41.799756, -87.724493)"
"37848"	40960	"Pulaski-Orange"	"08/17/2018"	"W"	4414	"(41.799756, -87.724493)"
"37849"	40960	"Pulaski-Orange"	"08/18/2018"	"A"	2486	"(41.799756, -87.724493)"
"37850"	40960	"Pulaski-Orange"	"08/19/2018"	"U"	1972	"(41.799756, -87.724493)"
"37851"	40960	"Pulaski-Orange"	"08/20/2018"	"W"	4270	"(41.799756, -87.724493)"
"37852"	40960	"Pulaski-Orange"	"08/21/2018"	"W"	4569	"(41.799756, -87.724493)"
"37853"	40960	"Pulaski-Orange"	"08/22/2018"	"W"	5027	"(41.799756, -87.724493)"
"37854"	40960	"Pulaski-Orange"	"08/23/2018"	"W"	4806	"(41.799756, -87.724493)"
